drop expt    tg       te       tg       te       tg       te    
A       1   13.102   46.822   12.941   46.896   13.086   46.681
A       2   12.938   86.767   13.032   86.952   13.086   86.746
A       3   13.023   61.082   12.958   60.826   12.998   60.860
A       4   12.943   86.747   12.922   86.840   13.054   86.899
B       1   11.434   56.305   11.350   56.097   11.246   56.282
B       2   11.402   75.823   11.584   75.819   11.487   76.063
B       3   11.591   44.717   11.397   44.851   11.364   44.776
B       4   11.443   75.905   11.368   75.975   11.457   76.041
B       5   11.434   75.939   11.414   75.880   11.444   75.929
B       6   11.559   75.892   11.414   75.924   11.292   75.985
B       7   11.394   44.716   11.589   44.753   11.401   44.794
C       1   16.197  100.458   16.010  100.486   16.329  100.461
C       2   16.241   47.727   16.106   47.714   16.177   47.625
C       3   16.133   37.879   16.267   37.746   16.203   37.709
C       4   16.170   64.765   16.136   64.649   16.229   64.508
D       1   16.176   38.017   16.127   37.910   16.282   38.020
D       2   16.275   38.280   16.092   38.208   16.133   38.092
D       3   16.422   48.327   16.073   48.284   16.212   48.184
D       4   16.134   38.202   16.258   38.270   16.105   38.229
D       5   16.164  102.562   16.217  102.673   16.194  102.696
E       1   12.275   55.020   12.116   54.962   12.307   54.978
E       2   12.157   54.772   12.183   54.967   12.046   55.219
E       3   12.146   55.004   12.118   54.938   12.346   54.869
E       4   12.319   43.635   12.243   43.552   12.073   43.582
F       1   14.172   61.946   14.174   61.970   14.069   61.959
F       2   14.145   90.718   13.955   90.707   14.075   90.866
F       3   14.070   62.147   14.074   61.961   14.247   61.892
F       4   14.017   61.968   14.101   61.921   14.106   62.174
G       1    9.723   50.375    9.527   50.482    9.502   50.508
G       2    9.463   63.755    9.670   63.853    9.509   63.827
G       3    9.448   63.804    9.407   63.899    9.563   63.768
G       4    9.327   63.855    9.518   63.967    9.533   63.824
H       1   13.192   73.375   13.167   73.338   13.316   73.449
H       2   13.042   42.642   13.387   42.428   13.334   42.459
H       3   13.389   42.379   13.244   42.373   13.055   42.610
H       4   13.114   73.161   13.226   73.384   13.207   73.257
H       5   13.030   73.295   13.022   73.419   13.438   73.512
